STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019,BIRTHS2019,DEATHS2019
Idaho,Camas County,1117,1106,10,6
Idaho,Canyon County,188923,229849,3099,1547
Idaho,Caribou County,6963,7155,98,60
Idaho,Cassia County,22952,24030,391,185
Idaho,Clark County,982,845,8,2
Idaho,Clearwater County,8761,8756,72,96
Idaho,Custer County,4368,4315,33,38
Idaho,Elmore County,27038,27511,456,195
Idaho,Franklin County,12786,13876,202,105
Idaho,Fremont County,13242,13099,183,92
Idaho,Gem County,16719,18112,200,203
Idaho,Gooding County,15464,15179,191,117
Idaho,Idaho County,16267,16667,149,179
Idaho,Jefferson County,26140,29871,496,163
Idaho,Jerome County,22374,24412,367,152
Idaho,Kootenai County,138494,165697,1815,1503
Idaho,Latah County,37244,40108,422,215
Idaho,Lemhi County,7936,8027,75,99
Idaho,Lewis County,3821,3838,34,37
Idaho,Lincoln County,5208,5366,66,41
Idaho,Madison County,37536,39907,1108,141
Idaho,Minidoka County,20069,21039,308,179
Idaho,Nez Perce County,39265,40408,457,452
Idaho,Oneida County,4286,4531,54,41
Idaho,Owyhee County,11526,11823,141,94
Idaho,Payette County,22623,23951,306,214
Idaho,Power County,7817,7681,115,61
Idaho,Shoshone County,12765,12882,160,159
Idaho,Teton County,10170,12142,135,43
Idaho,Twin Falls County,77230,86878,1195,778
Idaho,Valley County,9862,11392,102,72
Idaho,Washington County,10198,10194,108,86
Illinois,Illinois,12830632,12671821,144299,110004
Illinois,Adams County,67103,65435,776,850
Illinois,Alexander County,8238,5761,54,72
Illinois,Bond County,17768,16426,146,157
Illinois,Boone County,54165,53544,564,417
Illinois,Brown County,6937,6578,56,56
Illinois,Bureau County,34978,32628,314,383
Illinois,Calhoun County,5089,4739,39,56
Illinois,Carroll County,15387,14305,131,192
Illinois,Cass County,13642,12147,167,130
Illinois,Champaign County,201081,209689,2232,1389
Illinois,Christian County,34800,32304,324,396
Illinois,Clark County,16335,15441,168,199
Illinois,Clay County,13815,13184,144,173
Illinois,Clinton County,37762,37562,413,367
Illinois,Coles County,53873,50621,452,500
Illinois,Cook County,5194675,5150233,61822,42432
Illinois,Crawford County,19817,18667,196,217
Illinois,Cumberland County,11048,10766,119,109
Illinois,DeKalb County,105160,104897,1107,729
Illinois,De Witt County,16561,15638,162,205
Illinois,Douglas County,19980,19465,246,175
