,full_county_name
500,"Cowley County, KS"
2003,"Crawford County, KS"
109,"Decatur County, KS"
2381,"Dickinson County, KS"
68,"Doniphan County, KS"
1174,"Douglas County, KS"
2457,"Edwards County, KS"
2580,"Elk County, KS"
240,"Ellis County, KS"
2696,"Ellsworth County, KS"
2439,"Finney County, KS"
1376,"Ford County, KS"
628,"Franklin County, KS"
955,"Geary County, KS"
1343,"Gove County, KS"
1244,"Graham County, KS"
2853,"Grant County, KS"
3031,"Gray County, KS"
372,"Greeley County, KS"
59,"Greenwood County, KS"
185,"Hamilton County, KS"
2527,"Harper County, KS"
2462,"Harvey County, KS"
2229,"Haskell County, KS"
2699,"Hodgeman County, KS"
3123,"Jackson County, KS"
2065,"Jefferson County, KS"
1138,"Jewell County, KS"
853,"Johnson County, KS"
2682,"Kearny County, KS"
2285,"Kingman County, KS"
2514,"Kiowa County, KS"
815,"Labette County, KS"
248,"Lane County, KS"
2868,"Leavenworth County, KS"
1740,"Lincoln County, KS"
1385,"Linn County, KS"
1873,"Logan County, KS"
181,"Lyon County, KS"
556,"Marion County, KS"
2806,"Marshall County, KS"
396,"McPherson County, KS"
2700,"Meade County, KS"
1290,"Miami County, KS"
1139,"Mitchell County, KS"
2440,"Montgomery County, KS"
1815,"Morris County, KS"
1250,"Morton County, KS"
2632,"Nemaha County, KS"
1383,"Neosho County, KS"
2158,"Ness County, KS"
2633,"Norton County, KS"
550,"Osage County, KS"
2183,"Osborne County, KS"
2093,"Ottawa County, KS"
1239,"Pawnee County, KS"
149,"Phillips County, KS"
682,"Pottawatomie County, KS"
244,"Pratt County, KS"
2077,"Rawlins County, KS"
2993,"Reno County, KS"
76,"Republic County, KS"
2125,"Rice County, KS"
226,"Riley County, KS"
2918,"Rooks County, KS"
592,"Rush County, KS"
1008,"Russell County, KS"
2257,"Saline County, KS"
1147,"Scott County, KS"
3110,"Sedgwick County, KS"
2603,"Seward County, KS"
1043,"Shawnee County, KS"
2489,"Sheridan County, KS"
732,"Sherman County, KS"
1741,"Smith County, KS"
2320,"Stafford County, KS"
594,"Stanton County, KS"
1152,"Stevens County, KS"
1274,"Sumner County, KS"
2078,"Thomas County, KS"
285,"Trego County, KS"
3068,"Wabaunsee County, KS"
211,"Wallace County, KS"
2540,"Washington County, KS"
2810,"Wichita County, KS"
2176,"Wilson County, KS"
2014,"Woodson County, KS"
1240,"Wyandotte County, KS"
232,"Adair County, KY"
57,"Allen County, KY"
2611,"Anderson County, KY"
1979,"Ballard County, KY"
2637,"Barren County, KY"
3045,"Bath County, KY"
1734,"Bell County, KY"
1521,"Boone County, KY"
245,"Bourbon County, KY"
3094,"Boyd County, KY"
1455,"Boyle County, KY"
1670,"Bracken County, KY"
1792,"Breathitt County, KY"
2364,"Breckinridge County, KY"
